"id","book_title","book_author","book_publisher","book_publishDate","book_description","book_totalPages","book_category","book_thumbnail","book_image","book_language","book_preview","book_info","book_subtitle","book_averageRating","book_ratingCount"
"CZzzEaVyffQC","Microsoft Office XP.","Gary B. Shelly, Thomas J. Cashman, Misty Vermaat","","2003","Part of the highly successful Shelly Cashman Series, this text offers a clear screen-by-screen, step-by-step approach to learning the fundamentals of Microsoft Office XP. Includes projects and exercises that take full advantage of the new features of Office XP.",1168,"Business","http://books.google.com/books/content?id=CZzzEaVyffQC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=CZzzEaVyffQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=CZzzEaVyffQC&q=search+terms&dq=search+terms&hl=&cd=443&source=gbs_api","http://books.google.com/books?id=CZzzEaVyffQC&dq=search+terms&hl=&source=gbs_api","Introductory concepts and techniques",4,1
"5oc1AQAAMAAJ","Schedule B. Statistical Classification of Domestic and Foreign Commodities Exported from the United States","United States. Bureau of the Census","","1908","Includes changes entitled Public bulletin.",NA,"Commercial products","http://books.google.com/books/content?id=5oc1AQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=5oc1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=5oc1AQAAMAAJ&printsec=frontcover&dq=search+terms&hl=&cd=444&source=gbs_api","https://play.google.com/store/books/details?id=5oc1AQAAMAAJ&source=gbs_api","",NA,0
"lnDyAAAAMAAJ","Proceedings of the Eighth International World-Wide Web Conference","","","1999","",724,"","http://books.google.com/books/content?id=lnDyAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=lnDyAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=lnDyAAAAMAAJ&q=search+terms&dq=search+terms&hl=&cd=445&source=gbs_api","http://books.google.com/books?id=lnDyAAAAMAAJ&dq=search+terms&hl=&source=gbs_api","11 - 14 May 1999, Toronto, Canada",NA,0
"uzAHzgEACAAJ","Psychology 2e","Rose M. Spielman, William J. Jenkins, Marilyn D. Lovett","","4/22/20","",NA,"","http://books.google.com/books/content?id=uzAHzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=uzAHzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=uzAHzgEACAAJ&dq=search+terms&hl=&cd=446&source=gbs_api","http://books.google.com/books?id=uzAHzgEACAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"kc4DAAAAMBAJ","Black Belt","","","1967-05","The oldest and most respected martial arts title in the industry, this popular monthly magazine addresses the needs of martial artists of all levels by providing them with information about every style of self-defense in the world - including techniques and strategies. In addition, Black Belt produces and markets over 75 martial arts-oriented books and videos including many about the works of Bruce Lee, the best-known marital arts figure in the world.",64,"","http://books.google.com/books/content?id=kc4DAAAAMBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=kc4DAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=kc4DAAAAMBAJ&printsec=frontcover&dq=search+terms&hl=&cd=447&source=gbs_api","http://books.google.com/books?id=kc4DAAAAMBAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"KyNEuQEACAAJ","The Everything Bible Word Search Book","Charles Timmerman","Everything","3/18/09","Word search fans will be able to test their Bible knowledge with this word search collection. Packed with 150 puzzles, this entertaining book mixes Bible passages with the most popular Everything puzzle, including: Forbidden Fruit; Samson and Delilah; The Proverbs of Solomon; The Road to Damascus; The Good Shepherd; and more. This book is perfect for Bible students looking for a fun way to review the New and Old Testaments or for word search lovers who enjoy challenging themselves with theme puzzles.",192,"Games & Activities","http://books.google.com/books/content?id=KyNEuQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=KyNEuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=KyNEuQEACAAJ&dq=search+terms&hl=&cd=448&source=gbs_api","http://books.google.com/books?id=KyNEuQEACAAJ&dq=search+terms&hl=&source=gbs_api","150 fun and inspirational puzzles",5,3
"UL0kvgAACAAJ","Large Print Word Search Puzzles","Parragon Book Service Limited, Parragon Books Ltd","Parragon","4/11/17","Large Print Word Search Puzzles is packed with over 200 puzzles to complete.",0,"","http://books.google.com/books/content?id=UL0kvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=UL0kvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=UL0kvgAACAAJ&dq=search+terms&hl=&cd=449&source=gbs_api","http://books.google.com/books?id=UL0kvgAACAAJ&dq=search+terms&hl=&source=gbs_api","Over 200 Puzzles to Complete",NA,0
"AUKSAAAAIAAJ","The Federal Reporter","","","1984","",1820,"Law reports, digests, etc","http://books.google.com/books/content?id=AUKSAAAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=AUKSAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=AUKSAAAAIAAJ&q=search+terms&dq=search+terms&hl=&cd=450&source=gbs_api","http://books.google.com/books?id=AUKSAAAAIAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"GTPfDUGGkogC","Popular Photography","","","2005-11","",160,"","http://books.google.com/books/content?id=GTPfDUGGkogC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=GTPfDUGGkogC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=GTPfDUGGkogC&printsec=frontcover&dq=search+terms&hl=&cd=451&source=gbs_api","http://books.google.com/books?id=GTPfDUGGkogC&dq=search+terms&hl=&source=gbs_api","",NA,0
"LE4EAAAAMBAJ","LIFE","","","7/27/62","LIFE Magazine is the treasured photographic magazine that chronicled the 20th Century. It now lives on at LIFE.com, the largest, most amazing collection of professional photography on the internet. Users can browse, search and view photos of today’s people and events. They have free access to share, print and post images for personal use.",100,"","http://books.google.com/books/content?id=LE4EAAAAMBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=LE4EAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=LE4EAAAAMBAJ&printsec=frontcover&dq=search+terms&hl=&cd=452&source=gbs_api","http://books.google.com/books?id=LE4EAAAAMBAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"sZT3khNqypsC","Ancestry magazine","","","1995-01","Ancestry magazine focuses on genealogy for today’s family historian, with tips for using Ancestry.com, advice from family history experts, and success stories from genealogists across the globe. Regular features include “Found!” by Megan Smolenyak, reader-submitted heritage recipes, Howard Wolinsky’s tech-driven “NextGen,” feature articles, a timeline, how-to tips for Family Tree Maker, and insider insight to new tools and records at Ancestry.com. Ancestry magazine is published 6 times yearly by Ancestry Inc., parent company of Ancestry.com.",28,"","http://books.google.com/books/content?id=sZT3khNqypsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=sZT3khNqypsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=sZT3khNqypsC&printsec=frontcover&dq=search+terms&hl=&cd=453&source=gbs_api","http://books.google.com/books?id=sZT3khNqypsC&dq=search+terms&hl=&source=gbs_api","",NA,0
"TugRAQAAMAAJ","Proceedings of the CMG XIII International Conference","Computer Measurement Group","","1982","",366,"Computers","http://books.google.com/books/content?id=TugRAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=TugRAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=TugRAQAAMAAJ&q=search+terms&dq=search+terms&hl=&cd=454&source=gbs_api","http://books.google.com/books?id=TugRAQAAMAAJ&dq=search+terms&hl=&source=gbs_api","December 14-17, 1982, San Diego, California",NA,0
"Bc-bDwAAQBAJ","Elena Ferrante’s Key Words","Tiziana de Rogatis","Europa Editions UK","12/5/19","“I greatly admire the work of Tiziana de Rogatis. She is a reader of deep refinement. Often I think that she knows my books better than I. So, I read her with admiration and remain silent.” —Elena Ferrante, in the magazine, San Lian Sheng HuoZhou Kan Ferrante’s four-volume novel cycle known in English as the Neapolitan quartet has become a global success, with over ten million readers in close to fifty countries. Her readers recount feeling “addicted” to the novels; they describe a pleasure in reading that is as rare as it is irresistible, a compulsion that leads them either to devour the books or to ration them so as to prolong the pleasure. De Rogatis here addresses that same transnational, diverse, transversal audience. Keywords is conceived as a lighted path made of luminous key words that synthesise the multiform aspects of Ferrante’s writing and guide us through the labyrinth of her global success.",288,"Literary Criticism","http://books.google.com/books/content?id=Bc-bDwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=Bc-bDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=Bc-bDwAAQBAJ&pg=PP1&dq=search+terms&hl=&cd=455&source=gbs_api","http://books.google.com/books?id=Bc-bDwAAQBAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"Kd08ugEACAAJ","Fantastic Word Search","Parragon Books","Parragon Books","10/2/18","If you love to hunt high and low for words - vertically, diagonally, forwards, and backward - then start your search here. These 300 puzzles, based on popular people and places, will keep you scanning for words on subjects ranging from the films of Tom Hanks and the songs of Rihanna to the cities of Alaska and the rivers in Washington State. Are you ready to rise to a Fantastic Word Search challenge? 300 PUZZLES & SOLUTIONS: Hours of fun and entertainment to enjoy! INCREASE YOUR KNOWLEDGE: Learn new facts on popular people and places while completing your word search puzzles. Learn 20 of Mel Gibson's movies or popular Florida Beaches! How about the names of Glaciers in Washington or popular sites in Chicago? Hours of fun and entertainment to keep your mind challenged! EASY-TO-CARRY: Pocket format, small enough to fit in a purse, briefcase or backpack. Great for on-the-go wherever your travels take you. Just the right size to leave on your nightstand and coffee table. MAKES A GREAT GIFT: For the novice to expert, this word search book makes a great gift! ON-THE-GO POCKET PUZZLE COLLECTION: Look for more puzzle books including Extreme Word Search and Ultimate Mind Games.",0,"Games & Activities","http://books.google.com/books/content?id=Kd08ugEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=Kd08ugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=Kd08ugEACAAJ&dq=search+terms&hl=&cd=456&source=gbs_api","http://books.google.com/books?id=Kd08ugEACAAJ&dq=search+terms&hl=&source=gbs_api","With 300 Puzzles",NA,0
"9BRZzQEACAAJ","Publication Manual of the American Psychological Association","American Psychological Association","","2011","",0,"Psychological literature","http://books.google.com/books/content?id=9BRZzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=9BRZzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=9BRZzQEACAAJ&dq=search+terms&hl=&cd=457&source=gbs_api","http://books.google.com/books?id=9BRZzQEACAAJ&dq=search+terms&hl=&source=gbs_api","6th edition",4.5,16
"uBmnx5HRIBsC","Not Quite What I Was Planning","Larry Smith, Rachel Fershleiser","Harper Collins","10/13/09","Deceptively simple and surprisingly addictive, Not Quite What I Was Planning is a thousand glimpses of humanity—six words at a time. One Life. Six Words. What's Yours? When Hemingway famously wrote, ""For Sale: baby shoes, never worn,"" he proved that an entire story can be told using a half dozen words. When the online storytelling magazine SMITH asked readers to submit six-word memoirs, they proved a whole, real life can be told this way too. The results are fascinating, hilarious, shocking, and moving. From small sagas of bittersweet romance (""Found true love, married someone else"") to proud achievements and stinging regrets (""After Harvard, had baby with crackhead""), these terse true tales relate the diversity of human experience in tasty bite-sized pieces. From authors Jonathan Lethem and Richard Ford to comedians Stephen Colbert and Amy Sedaris, to ordinary folks around the world, everyone has a six-word story to tell.",240,"Biography & Autobiography","http://books.google.com/books/content?id=uBmnx5HRIBsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=uBmnx5HRIBsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=uBmnx5HRIBsC&pg=PP1&dq=search+terms&hl=&cd=458&source=gbs_api","https://play.google.com/store/books/details?id=uBmnx5HRIBsC&source=gbs_api","And Other Six-Word Memoirs by Writers Ob",4,21
"iKs_EAAAQBAJ","Mastering Power Query in Power BI and Excel","Reza Rad, Leila Etaati","RADACAD Systems Limited","8/27/21","Any data analytics solution requires data population and preparation. With the rise of data analytics solutions these years, the need for this data preparation becomes even more essential. Power BI is a helpful data analytics tool that is used worldwide by many users. As a Power BI (or Microsoft BI) developer, it is essential to learn how to prepare the data in the right shape and format needed. You need to learn how to clean the data and build it in a structure that can be modeled easily and used high performant for visualization. Data preparation and transformation is the backend work. If you consider building a BI system as going to a restaurant and ordering food. The visualization is the food you see on the table nicely presented. The quality, the taste, and everything else come from the hard work in the kitchen. The part that you don’t see or the backend in the world of Power BI is Power Query. You may already be familiar with other data preparation and transformation technologies, such as T-SQL, SSIS, Azure Data Factory, Informatica, etc. Power Query is a data transformation engine capable of preparing the data in the format you need. The good news is that to learn Power Query; you don’t need to know programming. Power Query is for citizen data engineers. However, this doesn’t mean that Power Query is not capable of performing advanced transformation. Power Query exists in many Microsoft tools and services such as Power BI, Excel, Dataflows, Power Automate, Azure Data Factory, etc. Through the years, this engine became more powerful. These days, we can say this is essential learning for anyone who wants to do data analysis with Microsoft technology to learn Power Query and master it. We have been working with Power Query since the very early release of that in 2013, named Data Explorer, and wrote blog articles and published videos about it. The number of articles we published under this subject easily exceeds hundreds. Through those articles, some of the fundamentals and key learnings of Power Query are explained. We thought it is good to compile some of them in a book series. A good analytics solution combines a good data model, good data preparation, and good analytics and calculations. Reza has written another book about the Basics of modeling in Power BI and a book on Power BI DAX Simplified. This book is covering the data preparation and transformations aspects of it. This book series is for you if you are building a Power BI solution. Even if you are just visualizing the data, preparation and transformations are an essential part of analytics. You do need to have the cleaned and prepared data ready before visualizing it. This book is compiled into a series of two books, which will be followed by a third book later; Getting started with Power Query in Power BI and Excel (already available to be purchased separately) Mastering Power Query in Power BI and Excel (This book) Power Query dataflows (will be published later) This book deeps dive into real-world challenges of data transformation. It starts with combining data sources and continues with aggregations and fuzzy operations. The book covers advanced usage of Power Query in scenarios such as error handling and exception reports, custom functions and parameters, advanced analytics, and some helpful table and list functions. The book continues with some performance tuning tips and it also explains the Power Query formula language (M) and the structure of it and how to use it in practical solutions. Although this book is written for Power BI and all the examples are presented using the Power BI. However, the examples can be easily applied to Excel, Dataflows, and other tools and services using Power Query.",417,"Computers","http://books.google.com/books/content?id=iKs_EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=iKs_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=iKs_EAAAQBAJ&pg=PA1&dq=search+terms&hl=&cd=459&source=gbs_api","https://play.google.com/store/books/details?id=iKs_EAAAQBAJ&source=gbs_api","Learning real-world Power Query and M Techniques for a better data analysis",NA,0
"GnPmnQEACAAJ","Random House Webster's Unabridged Dictionary","Random House (Firm)","Random House Reference","2001","Provides entries for over 315,000 words and phrases, and includes a list of new words.",2230,"Reference","http://books.google.com/books/content?id=GnPmnQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=GnPmnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=GnPmnQEACAAJ&dq=search+terms&hl=&cd=460&source=gbs_api","http://books.google.com/books?id=GnPmnQEACAAJ&dq=search+terms&hl=&source=gbs_api","",4.5,5
"tNDtDwAAQBAJ","Chakras & Self-Care","Ambi Kavanagh","Zeitgeist","8/11/20","Embrace the timeless teachings of the chakra system for peace of mind, better physical health, and a sense of alignment, fulfillment, and purpose. The key to optimal health and well-being is within us, in powerful energy centers called chakras. Ancient cultures understood the sacred healing power of chakras and that self-care aligned with nature. In Chakras & Self-Care, you'll engage in a series of meditative exercises that activate and balance each of your seven main chakras. Reiki master and wellness expert Ambi Kavanagh also offers daily and seasonal rituals to show us that true prevention not only comes from the ways we care for our bodies, but the ways we spend our energy. Chakras & Self-Care features: • Affirmation, visualization, and activation exercises to align and balance each chakra for improved energetic flow • A comprehensive guide to the seven main chakras plus astrological and elemental correspondences and goddess archetypes • Essential oil blend recipes and sacred stones to open and support each chakra • Daily rituals to recharge and restore your mental, emotional, physical, and spiritual health • Seasonal energy rituals to reconnect with nature's rhythms and lunar cycles",224,"Body, Mind & Spirit","http://books.google.com/books/content?id=tNDtDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=tNDtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=tNDtDwAAQBAJ&pg=PP1&dq=search+terms&hl=&cd=461&source=gbs_api","https://play.google.com/store/books/details?id=tNDtDwAAQBAJ&source=gbs_api","Activate the Healing Power of Chakras with Everyday Rituals",NA,0
"Xl09zQEACAAJ","Entrepreneurship","Michael Laverty, Chris Littel","","1/16/20","This textbook is intended for use in introductory Entrepreneurship classes at the undergraduate level. Due to the wide range of audiences and course approaches, the book is designed to be as flexible as possible. Theoretical and practical aspects are presented in a balanced manner, and specific components such as the business plan are provided in multiple formats. Entrepreneurship aims to drive students toward active participation in entrepreneurial roles, and exposes them to a wide range of companies and scenarios.",0,"Business planning","http://books.google.com/books/content?id=Xl09zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=Xl09zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=Xl09zQEACAAJ&dq=search+terms&hl=&cd=462&source=gbs_api","http://books.google.com/books?id=Xl09zQEACAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"gqs_EAAAQBAJ","Getting started with Power Query in Power BI and Excel","Reza Rad, Leila Etaati","RADACAD Systems Limited","8/27/21","Any data analytics solution requires data population and preparation. With the rise of data analytics solutions these years, the need for this data preparation becomes even more essential. Power BI is a helpful data analytics tool that is used worldwide by many users. As a Power BI (or Microsoft BI) developer, it is essential to learn how to prepare the data in the right shape and format needed. You need to learn how to clean the data and build it in the structure that can be modeled easily and used high performant for visualization. Data preparation and transformation is the backend work. If you consider building a BI system as going to a restaurant and ordering food. The visualization is the food you see on the table nicely presented. The quality, the taste, and everything else comes from the hard work in the kitchen. The part that you don’t see or the backend in the world of Power BI is Power Query. You may be already familiar with some other data preparation and data transformation technologies, such as T-SQL, SSIS, Azure Data Factory, Informatica, etc. Power Query is a data transformation engine capable of preparing the data in the format you need. The good news is that to learn Power Query; you don’t need to know programming. Power Query is for citizen data engineers. However, this doesn’t mean that Power Query is not capable of performing advanced transformation. Unfortunately, because Power Query and data preparation is the kitchen work of the BI system, many Power BI users skip the learning of it and become aware of it somewhere along their BI project. Once they get familiar with it, they realize there are tons of things they could have implemented easier, faster, and in a much more maintainable way using Power Query. In other words, they learn mastering Power Query is the key skill toward mastering Power BI. We have been working with Power Query since the very early release of that in 2013, named Data Explorer, and wrote blog articles and published videos about it. The number of articles we published under this subject easily exceeds hundreds. Through those articles, some of the fundamentals and key learnings of Power Query are explained. We thought it is good to compile some of them in a book. A good analytics solution combines a good data model, good data preparation, and good analytics and calculations. Reza has written another book about the Basics of modeling in Power BI and a book on Power BI DAX Simplified. This book is covering the data preparation and transformations aspects of it. This book is for you if you are building a Power BI solution. Even if you are just visualizing the data, preparation and transformations are an essential part of analytics. You do need to have the cleaned and prepared data ready before visualizing it. This book is complied into a series of two books, which will be followed by a third book later; Getting started with Power Query in Power BI and Excel (this book) Mastering Power Query in Power BI and Excel (already available to be purchased separately) Power Query dataflows (will be published later) Although this book is written for Power BI and all the examples are presented using the Power BI. However, the examples can be easily applied to Excel, Dataflows, and other tools and services using Power Query.",285,"Computers","http://books.google.com/books/content?id=gqs_EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=gqs_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=gqs_EAAAQBAJ&pg=PA1&dq=search+terms&hl=&cd=463&source=gbs_api","https://play.google.com/store/books/details?id=gqs_EAAAQBAJ&source=gbs_api","Getting, transforming, and preparing the data. The first step towards data analysis",NA,0
"cJjX_VegA2kC","The Sign of the Four","Sir Arthur Conan Doyle","The Floating Press","1/1/09","Sir Arthur Conan Doyle's second novel starring the great detective Sherlock Holmes, The Sign of the Four weaves together a complex plot involving stolen treasure, a secret pact between guards and prisoners, and the Indian Rebellion of 1857. Revealing and humanizing Holmes beyond his portrayal in A Study in Scarlet, this novel from 1890 shows us the detective's drug habits and introduces Watson's wife-to-be, Mary Morstan.",137,"Fiction","http://books.google.com/books/content?id=cJjX_VegA2kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=cJjX_VegA2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=cJjX_VegA2kC&printsec=frontcover&dq=search+terms&hl=&cd=464&source=gbs_api","https://play.google.com/store/books/details?id=cJjX_VegA2kC&source=gbs_api","",NA,0
"MklfjgEACAAJ","Stocking Stuffers Large Print Christmas Word Search Puzzle Book","Puzzle Masters","Mmg Publishing","10/1/15","A special Large Print Christmas edition that fits perfectly into your standard stocking! The book features 20 full-page puzzles and solutions in extra large print to reduce eye strain. There are 15 words to find in each puzzle, which feature a 12x16 puzzle grid. Get in the Christmas Spirit with this great gift idea for people of all ages!",68,"Religion","http://books.google.com/books/content?id=MklfjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=MklfjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=MklfjgEACAAJ&dq=search+terms&hl=&cd=465&source=gbs_api","http://books.google.com/books?id=MklfjgEACAAJ&dq=search+terms&hl=&source=gbs_api","A Collection of 20 Holiday Themed Word Search Puzzles; Great for Adults and for Kids!",NA,0
"BL0NNoFPuAQC","High Performance MySQL","Baron Schwartz, Peter Zaitsev, Vadim Tkachenko, Jeremy D. Zawodny, Arjen Lentz, Derek J. Balling","O'Reilly Media, Inc.","6/18/08","High Performance MySQL is the definitive guide to building fast, reliable systems with MySQL. Written by noted experts with years of real-world experience building very large systems, this book covers every aspect of MySQL performance in detail, and focuses on robustness, security, and data integrity. High Performance MySQL teaches you advanced techniques in depth so you can bring out MySQL's full power. Learn how to design schemas, indexes, queries and advanced MySQL features for maximum performance, and get detailed guidance for tuning your MySQL server, operating system, and hardware to their fullest potential. You'll also learn practical, safe, high-performance ways to scale your applications with replication, load balancing, high availability, and failover. This second edition is completely revised and greatly expanded, with deeper coverage in all areas. Major additions include: Emphasis throughout on both performance and reliability Thorough coverage of storage engines, including in-depth tuning and optimizations for the InnoDB storage engine Effects of new features in MySQL 5.0 and 5.1, including stored procedures, partitioned databases, triggers, and views A detailed discussion on how to build very large, highly scalable systems with MySQL New options for backups and replication Optimization of advanced querying features, such as full-text searches Four new appendices The book also includes chapters on benchmarking, profiling, backups, security, and tools and techniques to help you measure, monitor, and manage your MySQL installations.",712,"Computers","http://books.google.com/books/content?id=BL0NNoFPuAQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=BL0NNoFPuAQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=BL0NNoFPuAQC&printsec=frontcover&dq=search+terms&hl=&cd=466&source=gbs_api","http://books.google.com/books?id=BL0NNoFPuAQC&dq=search+terms&hl=&source=gbs_api","Optimization, Backups, Replication, and More",4.5,14
"zVO9naaWqTEC","Clinical Practice Guidelines","Institute of Medicine, Committee to Advise the Public Health Service on Clinical Practice Guidelines","National Academies Press","2/1/90","The Alberta clinical practice guidelines program is supporting appropriate, effective and quality medical care in Alberta through promotion, development and implementation of evidence-based clinical practice guidelines.",169,"Medical","http://books.google.com/books/content?id=zVO9naaWqTEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=zVO9naaWqTEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=zVO9naaWqTEC&pg=PP1&dq=search+terms&hl=&cd=467&source=gbs_api","http://books.google.com/books?id=zVO9naaWqTEC&dq=search+terms&hl=&source=gbs_api","Directions for a New Program",NA,0
"KwAjW7fnvkwC","Computer Jargon Dictionary and Thesaurus","Eddie Martin","Beecroft Publishing","2006","This second edition of Computer Jargon Dictionary and Thesaurus now has almost 1400 widely used items of computer jargon. It has been updated to include many more Internet terms. The items listed are words, phrases and acronyms, and a brief description is supplied for each, explaining the meaning of the item. Where the book excels, is in the Thesaurus aspect. Readers will be able to search a list of Thesaurus items linked to each definition to find other words, phrases and acronyms of similar meaning and relevance. Specialist Computing's Dictionary and Thesaurus of Computer Jargon will prove an invaluable and indispensable companion for people who are not so computer literate. It can be used in the home, at work or for study and education. -1400 definitions of computer jargon -A MUST for every home -Simple and concise -Includes Acronym definitions -Good value for money -A true cross reference guide -Ideal for the home, school or office -Indispensable for those wanting to learn about computers",233,"Computer science","http://books.google.com/books/content?id=KwAjW7fnvkwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=KwAjW7fnvkwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=KwAjW7fnvkwC&printsec=frontcover&dq=search+terms&hl=&cd=468&source=gbs_api","http://books.google.com/books?id=KwAjW7fnvkwC&dq=search+terms&hl=&source=gbs_api","",NA,0
"TSOKPQAACAAJ","Wonderword #10","Ouellet","","1997-10","",0,"","","","en","http://books.google.com/books?id=TSOKPQAACAAJ&dq=search+terms&hl=&cd=469&source=gbs_api","http://books.google.com/books?id=TSOKPQAACAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
